age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
32,technician,married,secondary,no,696,yes,no,unknown,2,jun,815,1,-1,0,unknown,yes
23,services,single,secondary,no,31,no,no,cellular,1,jun,192,1,-1,0,unknown,yes
31,services,single,secondary,no,13,no,yes,cellular,6,feb,1019,2,-1,0,unknown,yes
48,management,married,tertiary,no,1949,yes,no,unknown,13,may,683,2,-1,0,unknown,yes
26,management,single,tertiary,no,170,no,no,cellular,15,jun,129,1,-1,0,unknown,yes
35,management,divorced,tertiary,no,1723,yes,no,cellular,25,jul,862,1,-1,0,unknown,yes
28,technician,single,secondary,no,313,no,no,cellular,9,feb,1183,2,-1,0,unknown,yes
43,blue-collar,married,secondary,no,953,yes,no,cellular,4,feb,765,2,-1,0,unknown,yes
55,technician,married,secondary,no,1938,no,yes,cellular,18,aug,193,1,386,3,success,yes
53,technician,married,secondary,no,1319,no,no,unknown,19,jun,1318,3,-1,0,unknown,yes
26,services,single,secondary,no,1445,no,no,telephone,23,oct,171,1,-1,0,unknown,yes
38,management,divorced,tertiary,no,6368,yes,no,cellular,4,may,922,4,-1,0,unknown,yes
47,admin.,married,secondary,no,1210,no,no,cellular,26,oct,604,1,91,4,failure,yes
34,self-employed,married,tertiary,no,0,no,no,cellular,28,aug,730,11,-1,0,unknown,yes
35,management,single,tertiary,no,3544,yes,no,cellular,8,jun,380,1,-1,0,unknown,yes
29,student,single,secondary,no,1377,yes,no,cellular,3,aug,248,1,446,2,success,yes
37,services,single,tertiary,no,1189,no,no,cellular,13,sep,323,9,199,4,other,yes
60,housemaid,married,primary,no,1163,no,no,cellular,30,apr,470,8,-1,0,unknown,yes
57,technician,married,secondary,no,7554,no,no,telephone,28,oct,141,1,-1,0,unknown,yes
32,management,single,tertiary,no,12569,no,no,cellular,1,jul,561,2,295,2,success,yes
49,housemaid,married,primary,no,889,no,no,telephone,7,jul,388,1,-1,0,unknown,yes
52,blue-collar,married,secondary,no,2230,no,no,cellular,29,oct,423,3,-1,0,unknown,yes
35,management,married,tertiary,no,323,no,no,cellular,11,jan,261,2,-1,0,unknown,yes
67,retired,married,primary,no,4416,no,no,cellular,29,sep,245,3,-1,0,unknown,yes
49,admin.,single,tertiary,no,228,yes,no,cellular,2,mar,368,1,-1,0,unknown,yes
35,self-employed,married,tertiary,no,3698,yes,no,cellular,5,mar,106,1,-1,0,unknown,yes
52,management,married,unknown,no,1708,no,no,unknown,6,sep,310,1,75,4,failure,yes
42,technician,married,tertiary,no,757,no,no,cellular,30,apr,354,1,79,1,success,yes
54,management,married,tertiary,no,8295,no,no,cellular,5,jun,207,1,-1,0,unknown,yes
34,management,married,tertiary,no,16,yes,no,telephone,29,sep,316,1,119,1,other,yes
60,blue-collar,married,primary,no,5,no,no,cellular,29,jan,533,1,92,1,success,yes
44,management,divorced,tertiary,no,5773,no,no,unknown,23,may,597,6,-1,0,unknown,yes
31,management,single,tertiary,no,12857,yes,no,telephone,4,may,483,4,87,2,success,yes
29,management,single,tertiary,no,1808,no,no,cellular,7,jul,273,2,433,1,success,yes
38,admin.,married,secondary,no,1767,yes,no,cellular,12,nov,893,7,-1,0,unknown,yes
30,blue-collar,single,secondary,no,161,no,yes,telephone,8,sep,298,3,-1,0,unknown,yes
61,retired,married,secondary,no,86,no,no,cellular,25,jan,639,1,94,1,success,yes
30,management,single,tertiary,no,4889,no,no,cellular,11,aug,545,2,-1,0,unknown,yes
25,student,single,unknown,no,1003,no,no,cellular,12,aug,361,1,-1,0,unknown,yes
27,admin.,married,secondary,no,-97,yes,no,unknown,18,jun,1528,2,-1,0,unknown,yes
42,management,divorced,tertiary,no,238,no,no,cellular,25,sep,692,1,-1,0,unknown,yes
28,blue-collar,single,secondary,no,1348,yes,no,cellular,6,aug,221,2,-1,0,unknown,yes
39,admin.,married,secondary,no,607,yes,no,cellular,12,may,454,2,364,3,failure,yes
76,retired,married,primary,no,2223,no,no,telephone,4,feb,429,1,-1,0,unknown,yes
49,technician,married,tertiary,no,3726,no,no,cellular,5,aug,875,2,-1,0,unknown,yes
50,technician,married,secondary,no,156,no,yes,cellular,14,jul,1130,3,-1,0,unknown,yes
33,admin.,married,secondary,no,920,no,no,cellular,16,nov,130,1,95,2,failure,yes
47,housemaid,single,primary,no,2785,yes,no,cellular,13,may,570,1,-1,0,unknown,yes
43,unemployed,married,primary,no,519,no,no,unknown,20,jun,973,2,-1,0,unknown,yes
30,services,married,secondary,no,517,no,no,cellular,11,dec,141,2,-1,0,unknown,yes
33,technician,single,secondary,no,163,yes,no,cellular,20,aug,627,2,-1,0,unknown,yes
60,retired,married,secondary,no,523,no,no,cellular,11,feb,467,1,182,3,success,yes
48,management,married,tertiary,no,157,no,no,cellular,28,jan,417,4,-1,0,unknown,yes
57,admin.,single,secondary,no,2223,no,no,cellular,12,aug,1064,1,-1,0,unknown,yes
39,admin.,divorced,secondary,no,728,yes,yes,cellular,18,oct,222,1,-1,0,unknown,yes
52,management,married,unknown,no,2240,yes,no,unknown,13,may,845,1,-1,0,unknown,yes
41,management,married,tertiary,no,27696,no,no,cellular,12,aug,147,2,104,1,failure,yes
33,services,single,secondary,no,2881,no,no,cellular,26,may,289,1,328,1,success,yes
36,management,married,secondary,no,565,no,no,cellular,27,mar,300,1,-1,0,unknown,yes
81,retired,divorced,primary,no,949,no,no,cellular,27,sep,188,2,280,1,other,yes
68,retired,married,tertiary,no,2812,no,no,cellular,3,aug,392,4,181,3,success,yes
30,services,single,secondary,no,-158,yes,no,cellular,12,may,426,1,370,2,failure,yes
32,blue-collar,married,primary,no,415,yes,no,unknown,2,jun,777,4,-1,0,unknown,yes
59,unemployed,single,primary,no,7724,no,no,cellular,21,nov,373,3,-1,0,unknown,yes
38,admin.,married,secondary,no,0,yes,yes,cellular,17,apr,547,2,-1,0,unknown,yes
29,blue-collar,single,tertiary,no,455,no,no,cellular,22,oct,542,4,148,3,success,yes
33,technician,single,tertiary,no,109,yes,yes,cellular,25,may,601,2,10,7,failure,yes
41,technician,married,secondary,no,501,yes,no,unknown,19,may,579,5,-1,0,unknown,yes
53,admin.,divorced,secondary,no,0,yes,yes,cellular,6,aug,1452,1,98,2,failure,yes
63,management,married,tertiary,no,3115,no,no,cellular,16,nov,432,5,-1,0,unknown,yes
64,retired,married,primary,no,12067,no,no,telephone,30,jul,367,2,92,2,success,yes
27,technician,single,secondary,yes,0,no,yes,cellular,8,jul,732,1,-1,0,unknown,yes
36,management,single,tertiary,no,2646,no,no,cellular,13,oct,169,1,182,10,success,yes
30,management,single,tertiary,no,5359,no,no,cellular,27,may,119,1,98,1,success,yes
56,management,married,tertiary,no,2333,no,no,cellular,4,may,244,1,-1,0,unknown,yes
34,management,married,tertiary,no,2287,yes,no,unknown,26,may,895,4,-1,0,unknown,yes
32,admin.,single,secondary,no,212,no,no,cellular,7,jul,830,5,-1,0,unknown,yes
68,retired,single,tertiary,no,2144,no,no,cellular,26,jan,708,1,96,3,success,yes
33,blue-collar,single,tertiary,no,700,no,no,cellular,9,feb,126,1,88,1,success,yes
44,self-employed,divorced,secondary,no,8,no,no,cellular,26,jul,423,4,-1,0,unknown,yes
42,technician,single,tertiary,no,2625,no,no,cellular,29,jul,2516,2,-1,0,unknown,yes
32,management,married,tertiary,no,169,no,no,telephone,14,aug,698,2,-1,0,unknown,yes
43,unemployed,married,secondary,no,0,yes,yes,cellular,23,sep,183,2,184,13,failure,yes
31,management,married,tertiary,no,4328,no,no,cellular,12,oct,203,4,165,14,success,yes
27,management,married,tertiary,no,893,no,no,cellular,16,oct,154,2,-1,0,unknown,yes
36,student,single,tertiary,no,129,no,no,cellular,27,oct,149,1,-1,0,unknown,yes
55,housemaid,married,primary,no,0,yes,no,cellular,17,jul,1303,2,-1,0,unknown,yes
40,blue-collar,married,secondary,no,1954,no,no,cellular,31,jul,1107,2,-1,0,unknown,yes
57,management,married,tertiary,no,2845,yes,no,telephone,19,apr,1143,5,-1,0,unknown,yes
51,blue-collar,married,primary,no,7098,no,no,cellular,6,aug,1471,7,-1,0,unknown,yes
44,management,married,tertiary,no,309,yes,no,cellular,5,feb,676,1,-1,0,unknown,yes
30,unemployed,single,tertiary,no,1159,no,no,telephone,5,jun,366,1,-1,0,unknown,yes
33,technician,single,tertiary,no,127,yes,no,cellular,6,apr,583,2,222,17,failure,yes
51,services,divorced,secondary,no,65,no,yes,cellular,15,jul,881,1,-1,0,unknown,yes
31,technician,married,tertiary,no,2166,no,no,cellular,13,jul,577,6,182,2,success,yes
38,management,single,tertiary,no,3646,yes,no,cellular,12,may,1710,2,286,1,other,yes
43,unemployed,divorced,secondary,no,1854,no,no,cellular,30,apr,323,1,-1,0,unknown,yes
43,management,married,tertiary,no,79,no,no,cellular,26,may,640,1,-1,0,unknown,yes
39,management,divorced,tertiary,no,517,yes,yes,unknown,14,may,1328,1,-1,0,unknown,yes
27,blue-collar,married,primary,no,-413,no,yes,unknown,27,jun,422,6,-1,0,unknown,yes
50,technician,married,secondary,no,3176,no,no,cellular,7,aug,670,1,-1,0,unknown,yes
31,management,married,secondary,no,8629,yes,no,cellular,21,nov,957,1,184,2,failure,yes
46,technician,divorced,secondary,no,-824,yes,no,cellular,7,aug,429,3,-1,0,unknown,yes
35,blue-collar,married,unknown,no,1201,no,no,unknown,18,jun,537,1,-1,0,unknown,yes
31,technician,single,secondary,no,2544,no,no,cellular,12,jan,229,1,279,2,success,yes
61,retired,married,tertiary,no,32685,no,no,cellular,2,mar,1447,2,-1,0,unknown,yes
31,self-employed,single,tertiary,no,17924,yes,no,cellular,14,may,745,1,174,3,failure,yes
50,blue-collar,married,primary,no,3764,no,no,telephone,9,sep,214,2,99,4,failure,yes
50,technician,married,secondary,no,3370,no,no,cellular,21,aug,531,2,80,2,success,yes
28,technician,single,tertiary,no,4987,no,no,cellular,9,feb,253,21,-1,0,unknown,yes
44,technician,divorced,secondary,no,275,no,no,cellular,17,nov,1077,1,-1,0,unknown,yes
28,services,single,secondary,no,341,yes,no,cellular,15,may,437,3,347,3,other,yes
58,technician,married,secondary,no,3399,no,no,cellular,26,may,1078,1,97,7,other,yes
50,management,married,tertiary,no,5969,no,no,cellular,25,jan,455,1,544,2,failure,yes
34,admin.,married,tertiary,no,79,yes,no,cellular,5,aug,203,1,92,5,success,yes
53,blue-collar,married,primary,no,421,yes,no,cellular,20,nov,677,1,-1,0,unknown,yes
34,technician,single,secondary,no,1279,yes,no,cellular,21,oct,339,3,91,10,success,yes
33,management,single,tertiary,no,935,no,no,cellular,9,feb,385,2,92,8,success,yes
36,management,single,tertiary,no,479,no,no,cellular,9,feb,629,2,-1,0,unknown,yes
38,self-employed,single,tertiary,no,5774,yes,no,cellular,15,may,406,4,359,5,other,yes
26,services,single,secondary,no,110,no,no,cellular,30,jan,1136,2,-1,0,unknown,yes
31,unemployed,married,tertiary,no,330,no,no,cellular,13,jan,260,1,194,2,success,yes
68,retired,married,secondary,no,1146,no,no,cellular,3,mar,153,2,110,3,success,yes
31,admin.,divorced,secondary,no,217,yes,no,cellular,30,jan,1776,2,-1,0,unknown,yes
29,technician,married,secondary,no,95,no,yes,cellular,3,feb,172,3,-1,0,unknown,yes
30,admin.,married,secondary,no,1265,yes,yes,unknown,26,may,414,2,-1,0,unknown,yes
46,management,married,secondary,no,0,no,no,cellular,18,nov,1855,1,-1,0,unknown,yes
34,management,married,tertiary,no,589,no,no,cellular,19,apr,125,2,-1,0,unknown,yes
32,technician,single,tertiary,no,4665,yes,no,unknown,21,may,860,2,-1,0,unknown,yes
29,management,single,tertiary,no,874,yes,no,cellular,16,sep,152,1,103,1,success,yes
34,management,married,tertiary,no,273,yes,no,cellular,14,may,492,1,175,2,failure,yes
69,retired,married,unknown,no,426,no,no,telephone,9,dec,395,1,-1,0,unknown,yes
29,unemployed,single,secondary,no,1055,no,no,cellular,23,sep,427,1,603,1,failure,yes
69,retired,married,primary,no,2346,no,no,cellular,11,feb,354,2,-1,0,unknown,yes
47,admin.,married,secondary,no,3676,no,no,cellular,18,oct,567,1,95,3,success,yes
70,retired,married,secondary,no,2384,no,no,cellular,30,oct,196,2,-1,0,unknown,yes
26,services,single,secondary,no,136,no,no,cellular,20,apr,120,1,-1,0,unknown,yes
36,management,single,tertiary,no,62,yes,no,cellular,3,nov,566,1,182,7,failure,yes
30,management,single,tertiary,no,536,no,no,cellular,2,jul,309,1,-1,0,unknown,yes
36,management,married,tertiary,no,495,no,no,cellular,14,jun,187,1,94,9,success,yes
30,blue-collar,single,tertiary,no,297,no,no,cellular,7,apr,465,4,-1,0,unknown,yes
43,management,married,tertiary,no,3518,no,no,cellular,15,jun,181,2,-1,0,unknown,yes
50,management,married,tertiary,no,5108,yes,no,cellular,18,dec,406,1,182,2,failure,yes
49,technician,divorced,tertiary,no,596,yes,no,telephone,15,sep,722,1,-1,0,unknown,yes
42,technician,married,tertiary,no,757,no,no,cellular,10,feb,154,1,-1,0,unknown,yes
28,admin.,married,secondary,no,330,no,no,cellular,2,dec,357,1,188,3,other,yes
53,blue-collar,divorced,primary,no,4401,no,no,telephone,11,aug,254,1,-1,0,unknown,yes
22,student,single,unknown,no,466,no,no,cellular,30,jun,377,1,-1,0,unknown,yes
46,blue-collar,married,primary,no,977,no,yes,telephone,2,feb,436,3,-1,0,unknown,yes
46,technician,married,secondary,no,332,yes,no,unknown,9,may,772,1,-1,0,unknown,yes
38,student,married,unknown,no,0,no,no,cellular,8,jul,341,1,385,1,failure,yes
32,technician,divorced,tertiary,no,3255,no,no,cellular,29,jun,167,2,-1,0,unknown,yes
30,student,single,secondary,no,1779,no,no,cellular,11,aug,233,1,433,1,success,yes
46,blue-collar,married,secondary,no,456,no,yes,cellular,18,aug,618,6,-1,0,unknown,yes
40,management,single,tertiary,no,3840,yes,no,cellular,24,sep,232,2,409,2,success,yes
54,technician,married,secondary,no,0,no,no,telephone,5,feb,744,3,-1,0,unknown,yes
36,blue-collar,divorced,secondary,no,2843,no,no,cellular,14,aug,186,1,-1,0,unknown,yes
81,retired,married,primary,no,243,no,no,cellular,27,jan,340,1,92,1,success,yes
66,retired,married,secondary,no,2326,no,yes,cellular,18,feb,232,1,181,1,success,yes
55,housemaid,married,secondary,no,127,yes,no,telephone,21,jul,1130,8,-1,0,unknown,yes
38,technician,married,tertiary,no,3234,no,no,cellular,18,nov,578,2,-1,0,unknown,yes
48,blue-collar,married,secondary,no,1596,yes,no,unknown,14,may,760,1,-1,0,unknown,yes
58,retired,married,tertiary,no,0,no,no,cellular,13,aug,641,4,-1,0,unknown,yes
42,management,married,primary,no,5310,yes,no,cellular,25,nov,968,2,97,4,success,yes
56,retired,married,primary,no,9367,no,no,telephone,13,nov,271,2,92,4,success,yes
23,services,single,secondary,no,488,no,no,cellular,30,mar,236,1,92,2,other,yes
46,services,divorced,secondary,no,0,no,no,unknown,20,jun,1023,3,-1,0,unknown,yes
64,retired,divorced,primary,no,315,no,no,cellular,17,feb,154,1,-1,0,unknown,yes
79,retired,married,secondary,no,8304,no,no,telephone,9,mar,303,9,-1,0,unknown,yes
31,admin.,single,tertiary,no,676,yes,no,cellular,22,apr,124,2,343,2,other,yes
78,retired,divorced,secondary,no,3219,no,no,cellular,24,feb,151,1,-1,0,unknown,yes
30,management,single,tertiary,no,398,no,no,cellular,30,apr,554,1,6,2,success,yes
30,admin.,single,secondary,no,0,no,no,cellular,4,sep,316,3,-1,0,unknown,yes
30,admin.,single,secondary,no,915,yes,no,unknown,27,apr,370,1,-1,0,unknown,yes
56,management,divorced,tertiary,no,10532,no,no,cellular,7,aug,324,1,-1,0,unknown,yes
36,technician,single,secondary,no,4136,yes,no,unknown,30,may,812,3,-1,0,unknown,yes
51,admin.,married,tertiary,no,0,yes,yes,cellular,8,mar,124,2,-1,0,unknown,yes
43,blue-collar,married,secondary,no,413,yes,no,cellular,12,aug,235,2,182,4,success,yes
59,retired,divorced,tertiary,no,3444,no,no,cellular,10,aug,252,1,185,2,success,yes
30,services,divorced,primary,no,459,yes,no,cellular,18,jul,494,1,-1,0,unknown,yes
50,entrepreneur,married,tertiary,no,-168,yes,no,cellular,23,jul,1327,2,-1,0,unknown,yes
31,blue-collar,single,tertiary,no,761,no,no,telephone,18,nov,514,2,-1,0,unknown,yes
53,blue-collar,married,primary,no,343,yes,no,cellular,25,jul,616,5,-1,0,unknown,yes
61,technician,married,secondary,no,1191,no,no,cellular,21,may,214,4,-1,0,unknown,yes
52,technician,married,secondary,no,371,yes,yes,cellular,21,apr,224,2,182,1,success,yes
35,management,single,tertiary,no,1162,no,no,cellular,30,apr,175,1,-1,0,unknown,yes
47,retired,single,primary,no,3033,no,no,cellular,8,sep,293,1,-1,0,unknown,yes
53,admin.,married,secondary,no,1796,no,no,telephone,15,dec,476,1,193,1,failure,yes
23,unemployed,single,primary,no,1003,no,no,telephone,27,nov,8,1,-1,0,unknown,yes
41,services,married,secondary,no,0,yes,yes,cellular,4,jun,352,2,122,2,failure,yes
37,management,married,tertiary,no,255,no,no,cellular,24,feb,562,2,183,10,success,yes
52,unemployed,married,secondary,no,94,no,no,cellular,10,feb,153,1,92,13,success,yes
28,admin.,single,secondary,no,1277,no,no,cellular,26,mar,475,1,-1,0,unknown,yes
