age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
49,services,single,secondary,no,133,no,no,unknown,11,jun,319,6,-1,0,unknown,no
59,blue-collar,married,secondary,no,10054,no,no,telephone,13,aug,79,6,-1,0,unknown,no
55,technician,married,unknown,no,1192,yes,no,unknown,13,may,481,1,-1,0,unknown,no
53,blue-collar,married,secondary,no,148,yes,no,cellular,7,may,66,1,359,1,failure,no
38,admin.,married,secondary,no,3091,yes,no,cellular,24,jul,13,2,-1,0,unknown,no
32,blue-collar,married,secondary,yes,-1,yes,no,unknown,9,may,653,1,-1,0,unknown,yes
29,blue-collar,married,secondary,no,975,yes,no,unknown,27,may,265,2,-1,0,unknown,no
36,self-employed,single,tertiary,no,3560,no,no,unknown,2,jun,409,2,-1,0,unknown,no
53,blue-collar,married,secondary,no,684,yes,yes,cellular,10,jul,197,1,-1,0,unknown,no
42,technician,married,secondary,no,419,no,no,cellular,6,feb,198,2,-1,0,unknown,no
51,blue-collar,divorced,primary,no,155,yes,yes,cellular,9,apr,220,1,142,1,failure,no
34,management,single,tertiary,no,1049,yes,no,cellular,17,nov,101,2,129,1,failure,no
44,management,married,tertiary,no,170,no,no,cellular,4,jun,94,1,-1,0,unknown,no
58,technician,married,secondary,no,1191,no,no,cellular,6,aug,78,2,-1,0,unknown,no
50,blue-collar,married,primary,no,156,yes,no,unknown,7,may,117,3,-1,0,unknown,no
30,blue-collar,single,primary,no,464,yes,no,cellular,13,apr,686,1,-1,0,unknown,no
32,management,married,primary,no,142,yes,no,unknown,12,may,101,1,-1,0,unknown,no
41,management,married,secondary,no,5585,no,no,unknown,9,jun,772,1,-1,0,unknown,no
43,management,divorced,tertiary,no,221,yes,no,cellular,11,may,313,1,369,2,failure,no
31,blue-collar,married,secondary,no,2591,yes,no,cellular,20,nov,55,1,-1,0,unknown,no
30,services,married,primary,no,-286,yes,no,unknown,28,may,202,1,-1,0,unknown,no
37,technician,married,secondary,no,630,no,no,cellular,8,aug,241,6,-1,0,unknown,no
39,technician,married,tertiary,no,2869,no,no,cellular,3,apr,115,1,-1,0,unknown,no
29,management,married,tertiary,no,16,yes,no,cellular,16,jul,605,6,-1,0,unknown,no
57,retired,married,secondary,no,975,no,no,cellular,16,jul,166,1,-1,0,unknown,no
46,services,married,secondary,no,1516,no,no,cellular,14,aug,133,4,-1,0,unknown,no
33,blue-collar,married,secondary,no,3458,yes,no,cellular,20,apr,54,1,-1,0,unknown,no
36,technician,married,tertiary,no,6,yes,no,cellular,27,jan,100,1,435,1,failure,no
35,technician,single,secondary,no,-206,yes,no,unknown,19,may,85,4,-1,0,unknown,no
56,management,married,primary,no,870,no,no,cellular,16,nov,257,1,-1,0,unknown,yes
31,self-employed,single,tertiary,no,1820,yes,no,unknown,20,may,68,1,-1,0,unknown,no
35,blue-collar,married,secondary,no,635,yes,no,cellular,13,may,265,2,-1,0,unknown,no
57,services,divorced,secondary,no,1024,yes,no,unknown,26,may,360,6,-1,0,unknown,no
37,housemaid,divorced,secondary,no,1040,yes,no,cellular,13,may,199,1,173,2,failure,no
47,admin.,married,secondary,no,407,yes,no,unknown,5,jun,67,12,-1,0,unknown,no
35,management,married,tertiary,no,260,no,no,cellular,7,aug,358,2,-1,0,unknown,no
45,management,single,tertiary,no,16,no,no,cellular,31,jul,59,2,-1,0,unknown,no
46,technician,divorced,secondary,no,129,no,no,unknown,25,jun,75,2,-1,0,unknown,no
32,self-employed,divorced,tertiary,no,3271,no,no,cellular,12,aug,162,1,100,3,success,no
42,blue-collar,married,secondary,no,54,yes,no,unknown,28,may,268,1,-1,0,unknown,no
35,management,single,tertiary,no,1635,no,no,cellular,18,aug,90,6,-1,0,unknown,no
32,services,single,secondary,no,0,no,no,cellular,29,jan,96,1,-1,0,unknown,no
30,services,married,secondary,no,2212,yes,no,telephone,30,jan,41,1,249,2,other,no
70,retired,married,primary,no,2795,no,no,cellular,8,jan,301,2,-1,0,unknown,yes
40,technician,single,tertiary,no,1646,yes,no,cellular,4,aug,173,1,92,5,success,yes
48,blue-collar,married,primary,no,719,no,yes,cellular,11,aug,418,5,-1,0,unknown,yes
27,technician,married,tertiary,no,10451,yes,no,cellular,2,feb,45,1,-1,0,unknown,no
22,student,single,secondary,no,2412,yes,no,unknown,9,may,238,2,-1,0,unknown,no
55,entrepreneur,married,secondary,no,27624,no,no,telephone,3,jun,437,1,-1,0,unknown,yes
48,self-employed,married,tertiary,no,147,no,yes,cellular,28,jul,295,4,-1,0,unknown,no
32,management,divorced,tertiary,no,874,no,no,cellular,21,nov,366,3,101,6,success,no
42,self-employed,married,tertiary,no,4960,no,no,cellular,17,nov,139,1,-1,0,unknown,no
50,management,married,tertiary,no,569,no,yes,cellular,18,aug,452,4,-1,0,unknown,no
31,admin.,divorced,secondary,no,-579,yes,no,unknown,26,may,150,1,-1,0,unknown,no
52,technician,divorced,secondary,no,280,no,no,cellular,14,jul,393,5,-1,0,unknown,no
38,technician,married,secondary,no,1960,yes,no,cellular,21,aug,161,2,-1,0,unknown,no
32,blue-collar,single,primary,no,354,no,no,cellular,4,feb,239,1,196,8,failure,no
44,entrepreneur,married,tertiary,no,3689,yes,no,unknown,16,may,134,3,-1,0,unknown,no
33,technician,married,tertiary,no,1699,no,no,cellular,28,jan,202,1,83,3,success,yes
35,management,single,tertiary,no,-208,yes,no,unknown,27,may,127,2,-1,0,unknown,no
31,services,divorced,primary,no,459,yes,no,cellular,7,may,623,1,293,1,success,yes
34,admin.,single,secondary,no,1880,yes,no,unknown,23,may,297,1,-1,0,unknown,no
56,management,married,tertiary,no,2333,no,no,cellular,4,may,244,1,-1,0,unknown,yes
49,technician,married,secondary,no,6050,yes,no,unknown,14,may,229,2,-1,0,unknown,no
60,housemaid,married,primary,no,15,no,no,cellular,14,aug,244,1,-1,0,unknown,no
46,blue-collar,married,secondary,no,942,no,no,telephone,22,jul,425,2,-1,0,unknown,no
33,management,single,tertiary,no,5943,no,no,cellular,28,aug,81,8,-1,0,unknown,no
37,management,single,unknown,no,504,yes,no,cellular,16,apr,555,1,-1,0,unknown,no
48,blue-collar,married,secondary,no,480,yes,no,cellular,15,may,830,1,352,2,failure,yes
48,management,single,tertiary,no,191,yes,no,cellular,17,apr,222,1,326,1,failure,no
37,management,married,tertiary,no,392,no,no,cellular,6,aug,115,2,-1,0,unknown,no
49,self-employed,married,tertiary,no,8142,no,no,telephone,18,nov,500,1,-1,0,unknown,no
46,admin.,divorced,secondary,no,-637,yes,no,cellular,8,may,218,1,172,1,failure,no
43,services,married,tertiary,no,4216,no,no,cellular,24,dec,150,2,195,2,success,yes
27,student,single,tertiary,no,1013,no,no,cellular,28,jan,965,3,-1,0,unknown,no
47,technician,married,secondary,no,1740,yes,no,cellular,13,sep,502,1,490,1,failure,no
78,retired,married,primary,no,680,no,no,telephone,24,may,838,1,89,9,failure,no
58,blue-collar,divorced,secondary,no,314,no,no,unknown,25,jun,67,2,-1,0,unknown,no
30,admin.,single,tertiary,no,305,no,no,cellular,30,apr,633,1,85,2,success,yes
45,blue-collar,single,primary,no,999,no,no,cellular,29,jan,182,2,-1,0,unknown,no
38,technician,married,secondary,no,635,no,no,unknown,5,jun,31,5,-1,0,unknown,no
45,unemployed,divorced,secondary,no,5163,no,no,unknown,20,jun,9,2,-1,0,unknown,no
43,entrepreneur,single,tertiary,no,744,no,yes,cellular,20,nov,90,4,114,4,failure,no
39,services,married,secondary,no,323,no,no,cellular,3,dec,1804,3,182,3,other,no
60,blue-collar,married,primary,no,5,no,no,cellular,29,oct,401,1,-1,0,unknown,yes
46,management,married,tertiary,no,273,yes,no,cellular,15,sep,1962,1,105,3,failure,yes
26,services,married,secondary,no,0,no,no,cellular,18,jul,409,2,-1,0,unknown,no
41,technician,married,secondary,no,1278,no,no,unknown,19,jun,532,1,-1,0,unknown,no
58,technician,married,unknown,no,1617,yes,no,cellular,5,feb,109,4,274,2,failure,no
35,admin.,married,secondary,no,-85,no,no,cellular,2,mar,136,6,-1,0,unknown,no
26,services,single,secondary,no,1347,no,no,telephone,18,jun,280,6,92,5,other,yes
33,management,single,secondary,no,-665,yes,yes,unknown,9,may,188,1,-1,0,unknown,no
47,blue-collar,married,primary,no,269,yes,no,cellular,30,jul,145,5,-1,0,unknown,no
36,unemployed,single,primary,no,1201,yes,no,unknown,5,jun,57,1,-1,0,unknown,no
36,admin.,single,secondary,no,135,no,no,unknown,5,jun,308,1,-1,0,unknown,no
38,admin.,married,secondary,no,-241,no,no,cellular,29,jan,570,2,-1,0,unknown,no
34,services,married,secondary,no,0,yes,no,unknown,21,may,872,5,-1,0,unknown,no
32,services,married,secondary,no,1398,yes,yes,cellular,15,may,233,1,-1,0,unknown,no
39,services,married,secondary,no,52,no,no,telephone,2,feb,1420,3,-1,0,unknown,yes
41,admin.,married,secondary,no,8238,yes,yes,unknown,30,may,124,4,-1,0,unknown,no
31,blue-collar,married,secondary,no,714,yes,no,unknown,23,may,254,1,-1,0,unknown,no
35,admin.,single,secondary,no,-101,yes,no,cellular,16,apr,275,1,318,1,other,no
38,management,married,tertiary,no,0,yes,no,cellular,4,feb,138,1,-1,0,unknown,no
58,management,divorced,tertiary,no,26254,yes,no,unknown,21,oct,49,1,-1,0,unknown,no
46,technician,married,secondary,no,591,no,no,telephone,29,aug,81,2,-1,0,unknown,no
52,management,married,tertiary,no,7135,no,no,cellular,19,aug,1032,3,-1,0,unknown,yes
63,retired,married,primary,no,48,no,no,cellular,9,jun,251,1,-1,0,unknown,yes
55,management,single,secondary,no,220,yes,no,unknown,6,may,328,2,-1,0,unknown,no
32,management,single,tertiary,no,2360,no,no,cellular,4,may,11,4,90,7,success,no
32,management,married,tertiary,no,6449,no,no,telephone,19,nov,385,1,-1,0,unknown,no
45,blue-collar,married,secondary,no,90,yes,no,unknown,29,may,744,6,-1,0,unknown,no
36,technician,single,tertiary,no,0,yes,no,cellular,14,may,155,2,303,3,other,no
29,services,single,secondary,no,-293,no,yes,cellular,10,jul,150,1,-1,0,unknown,no
44,blue-collar,married,secondary,no,0,no,no,cellular,5,may,113,2,-1,0,unknown,no
33,technician,single,secondary,no,247,yes,no,cellular,20,nov,428,1,-1,0,unknown,no
27,services,married,unknown,no,-209,yes,yes,cellular,29,jan,128,1,-1,0,unknown,no
36,blue-collar,married,secondary,no,0,no,no,unknown,20,jun,332,3,-1,0,unknown,no
43,management,married,tertiary,no,2100,yes,no,cellular,21,nov,105,1,-1,0,unknown,no
46,blue-collar,married,primary,no,2749,yes,no,cellular,17,nov,332,1,-1,0,unknown,no
27,admin.,single,secondary,no,125,no,no,cellular,21,jul,104,1,288,8,failure,no
51,technician,married,secondary,no,12061,yes,no,cellular,17,nov,150,1,188,1,failure,no
40,management,married,tertiary,no,0,no,no,cellular,7,jul,111,1,-1,0,unknown,no
32,technician,single,secondary,no,10,yes,no,unknown,8,may,107,1,-1,0,unknown,no
40,technician,married,secondary,no,2715,yes,no,unknown,29,may,125,2,-1,0,unknown,no
59,retired,married,primary,no,213,no,no,cellular,27,aug,184,3,-1,0,unknown,no
38,management,single,tertiary,no,1373,no,no,cellular,22,oct,119,4,-1,0,unknown,no
52,technician,married,secondary,no,3431,no,no,cellular,25,aug,72,4,-1,0,unknown,no
36,services,married,primary,no,0,yes,no,unknown,2,jun,1036,1,-1,0,unknown,yes
35,services,married,secondary,no,39,no,no,unknown,7,may,143,1,-1,0,unknown,no
28,technician,single,secondary,no,6551,no,no,cellular,10,mar,97,1,-1,0,unknown,no
45,services,divorced,secondary,no,-28,no,yes,cellular,30,jan,87,1,-1,0,unknown,no
32,management,single,tertiary,no,1345,yes,no,unknown,12,may,289,3,-1,0,unknown,no
55,entrepreneur,married,secondary,no,113,yes,no,unknown,12,jun,186,1,-1,0,unknown,no
33,admin.,single,secondary,no,1430,yes,no,cellular,18,may,74,3,349,2,other,no
58,admin.,married,secondary,no,6878,no,no,cellular,4,aug,148,1,-1,0,unknown,no
49,technician,married,secondary,no,2497,yes,no,unknown,29,may,99,1,-1,0,unknown,no
27,admin.,single,secondary,no,557,yes,no,cellular,13,may,466,2,-1,0,unknown,no
45,admin.,married,secondary,no,524,yes,no,cellular,23,jul,808,1,-1,0,unknown,yes
27,student,single,secondary,no,833,no,no,telephone,25,jun,359,5,-1,0,unknown,no
39,technician,married,secondary,no,394,no,no,cellular,11,aug,218,2,-1,0,unknown,no
32,management,single,tertiary,no,3237,yes,no,unknown,2,jun,447,2,-1,0,unknown,no
54,technician,married,secondary,no,1378,yes,no,unknown,5,may,240,1,-1,0,unknown,no
34,services,married,secondary,no,302,yes,no,unknown,7,may,124,1,-1,0,unknown,no
36,admin.,married,secondary,no,0,yes,no,cellular,21,jul,93,7,-1,0,unknown,no
50,management,married,tertiary,no,346,no,no,cellular,4,may,76,2,87,1,success,no
36,services,single,secondary,no,248,yes,no,unknown,7,may,90,2,-1,0,unknown,no
47,admin.,divorced,secondary,no,2232,no,no,cellular,27,may,439,1,103,1,success,yes
40,admin.,married,secondary,no,824,yes,no,cellular,17,apr,359,1,-1,0,unknown,no
49,technician,married,secondary,no,2,no,no,cellular,19,aug,177,8,-1,0,unknown,no
42,blue-collar,married,primary,no,-10,yes,no,unknown,9,may,291,4,-1,0,unknown,no
40,housemaid,married,primary,no,4904,yes,no,cellular,11,may,248,1,356,1,failure,no
23,services,single,secondary,no,488,no,no,cellular,29,jun,205,1,91,3,success,yes
50,technician,married,secondary,no,-353,yes,yes,cellular,18,nov,162,1,175,2,failure,no
